0,-25.77,-25.20,-25.55,-25.28,-26.86,-26.07,-25.73,-26.41
1,-25.89,-25.32,-25.67,-25.44,-27.02,-26.18,-25.81,-26.48
2,-22.69,-21.75,-21.99,-21.72,-22.38,-20.74,-18.49,-17.36
3,-16.79,-10.70,-4.43,-1.69,-0.47,2.02,2.63,1.95
4,-12.10,2.16,2.57,2.67,1.19,1.94,2.55,1.89
5,-15.41,1.39,2.39,2.50,1.10,1.89,2.52,1.87
6,-20.82,1.40,2.34,2.43,0.98,1.83,2.36,1.65
7,-22.58,1.19,2.00,2.24,0.81,1.73,2.33,1.72
8,-22.94,1.41,2.32,2.26,0.68,1.57,2.23,1.64
9,-23.31,1.16,2.33,2.30,0.66,1.47,2.10,1.54
10,-23.44,1.16,2.22,2.26,0.76,1.49,2.04,1.49
11,-23.36,0.91,1.98,2.13,0.76,1.49,2.00,1.42
12,-23.66,0.60,2.04,1.99,0.48,1.41,1.96,1.33
13,-23.88,0.63,1.95,1.94,0.39,1.18,1.71,1.21
14,-23.88,0.69,1.90,1.87,0.39,1.21,1.70,1.11
15,-24.03,0.64,1.68,1.79,0.44,1.22,1.69,1.15
16,-23.69,0.52,1.70,1.63,0.22,1.06,1.58,1.08
17,-23.95,0.52,1.45,1.74,0.36,1.11,1.51,0.91
18,-24.31,0.27,1.23,1.46,0.17,1.10,1.52,0.92
19,-24.47,0.07,1.00,1.43,0.27,1.05,1.51,0.94
20,-24.44,0.34,1.33,1.26,0.05,0.94,1.44,0.88
21,-24.45,0.20,1.41,1.29,0.03,0.76,1.37,0.86
22,-24.62,-0.07,1.22,1.31,0.06,0.82,1.23,0.69
23,-24.67,0.05,1.30,1.31,0.01,0.74,1.20,0.65
24,-24.54,-0.15,1.21,1.25,-0.15,0.68,1.12,0.60
25,-24.92,-0.47,1.12,1.18,-0.23,0.65,1.08,0.50
26,-24.89,-0.13,0.92,0.87,-0.40,0.55,0.98,0.40
27,-25.02,-0.28,0.84,0.78,-0.61,0.42,0.90,0.39
28,-24.86,-0.32,0.90,0.97,-0.38,0.52,0.92,0.32
29,-25.05,-0.73,0.52,0.79,-0.46,0.43,0.84,0.32
30,-25.15,-1.02,0.42,0.51,-0.64,0.38,0.81,0.29
31,-25.45,-0.77,0.65,0.47,-0.85,0.13,0.66,0.23
32,-25.37,-0.60,0.50,0.40,-0.93,0.05,0.50,0.03
33,-25.25,-1.09,0.18,0.36,-1.12,-0.08,0.38,-0.04
34,-25.22,-0.82,0.57,0.54,-1.04,-0.21,0.25,-0.18
35,-25.36,-1.04,0.46,0.55,-0.94,-0.02,0.38,-0.14
36,-25.23,-0.97,0.41,0.46,-0.90,0.01,0.41,-0.09
37,-25.40,-1.11,0.19,0.31,-0.95,-0.05,0.37,-0.10
38,-25.10,-1.23,-0.13,-0.08,-1.38,-0.40,0.09,-0.28
39,-25.51,-1.74,-0.47,-0.12,-1.15,-0.20,0.19,-0.34
40,-25.57,-1.38,0.14,0.01,-1.41,-0.25,0.17,-0.33
41,-25.74,-1.52,0.14,0.13,-1.20,-0.30,0.10,-0.38
42,-25.48,-1.42,0.04,0.07,-1.21,-0.33,0.06,-0.39
43,-25.28,-1.45,-0.06,-0.11,-1.51,-0.46,-0.05,-0.45
44,-25.69,-1.30,-0.19,-0.17,-1.59,-0.55,-0.18,-0.61
45,-25.48,-1.58,-0.39,-0.22,-1.54,-0.59,-0.23,-0.68
46,-25.66,-1.43,-0.29,-0.22,-1.59,-0.61,-0.26,-0.74
47,-25.68,-1.48,-0.44,-0.34,-1.62,-0.67,-0.31,-0.73
48,-25.92,-1.58,-0.34,-0.33,-1.69,-0.71,-0.36,-0.77
49,-25.83,-1.75,-0.38,-0.36,-1.74,-0.80,-0.44,-0.82
50,-25.78,-1.89,-0.45,-0.41,-1.75,-0.81,-0.50,-0.93
51,-25.66,-1.95,-0.66,-0.74,-1.97,-0.96,-0.56,-0.94
52,-25.92,-2.11,-1.08,-1.02,-2.18,-1.16,-0.79,-1.08
53,-25.46,-2.20,-1.39,-0.93,-2.23,-1.14,-0.74,-1.12
54,-25.46,-2.06,-0.97,-0.94,-2.30,-1.27,-0.92,-1.19
55,-26.00,-2.03,-0.92,-0.91,-2.34,-1.33,-0.97,-1.24
56,-25.99,-2.09,-1.01,-0.95,-2.30,-1.33,-1.00,-1.37
57,-25.94,-2.11,-1.11,-1.09,-2.46,-1.42,-1.07,-1.40
58,-25.93,-2.19,-1.31,-1.12,-2.30,-1.36,-1.07,-1.43
59,-26.02,-2.24,-1.22,-1.13,-2.25,-1.32,-1.02,-1.37
60,-25.89,-2.29,-1.25,-1.23,-2.39,-1.38,-1.08,-1.43
61,-25.92,-2.27,-1.14,-1.21,-2.33,-1.37,-1.10,-1.44
